,Items,Support,Confidence,Ground Truth
0,"{'IPTIME', '1.3.4d'}",0.004515546381112115,1.0,IPTime | printer | 
134,"{'DVR', 'axis'}",0.004171504752075001,0.9699999999999999,P7224 Video Encoder Blade |  | 
135,"{'DVR', 'camera'}",0.004171504752075001,0.9699999999999999,Q3505 Fixed Dome Network Camera | camera | 
136,"{'DVR16-24', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
137,"{'DVR16-24', 'camera'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
138,"{'DVR16-24', 'ptz'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
139,"{'DVR8', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
140,"{'camera', 'DVR8'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
141,"{'ptz', 'DVR8'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
142,"{'mikrotik', 'EMPLOYEES280'}",0.003225390272222939,1.0,MikroTik | router | 
143,"{'mikrotik', 'EXPLOITATIONVULNERABILITYHACKINGINFOSEC386'}",0.0028813486431858255,1.0,MikroTik | router | 
144,"{'G-16S', 'mikrotik'}",0.005762697286371651,1.0,MikroTik | router | 
145,"{'mikrotik', 'G-2HND'}",0.0033114006794822174,1.0,MikroTik | router | 
146,"{'G-2S', 'mikrotik'}",0.005762697286371651,1.0,MikroTik | router | 
147,"{'G-5HPACD', 'mikrotik'}",0.00580570249000129,1.0,MikroTik | router | 
148,"{'G-60AD', 'mikrotik'}",0.005762697286371651,1.0,MikroTik | router | 
149,"{'G-8S', 'mikrotik'}",0.005762697286371651,1.0,MikroTik | router | 
150,"{'mikrotik', 'GATEWAY'}",0.010450264482002323,0.9918367346938777,MikroTik | router | 
151,"{'GIGABYTE', 'axis'}",0.015653894121188665,1.0,P7224 Video Encoder Blade |  | 
152,"{'camera', 'GIGABYTE'}",0.015653894121188665,1.0,Q3505 Fixed Dome Network Camera | camera | 
153,"{'ptz', 'GIGABYTE'}",0.015653894121188665,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
154,"{'GLASS', 'europa'}",0.004128499548445362,1.0,MikroTik | router | 
155,"{'GLASS', 'mikrotik'}",0.004128499548445362,1.0,MikroTik | router | 
156,"{'GROOVE-52HPN', 'mikrotik'}",0.0029243538468154647,1.0,MikroTik | router | 
157,"{'GROOVEA-52HPN', 'mikrotik'}",0.0029243538468154647,1.0,MikroTik | router | 
158,"{'GS-5HNT', 'mikrotik'}",0.0029243538468154647,1.0,MikroTik | router | 
159,"{'GX4', 'mikrotik'}",0.005762697286371651,1.0,MikroTik | router | 
160,"{'mikrotik', 'HACQ2HND'}",0.005891712897260568,1.0,MikroTik | router | 
161,"{'HIKVISION', 'axis'}",0.0413710058917129,0.867448151487827,P7224 Video Encoder Blade |  | 
162,"{'camera', 'HIKVISION'}",0.0413710058917129,0.867448151487827,Q3505 Fixed Dome Network Camera | camera | 
163,"{'m3004', 'HIKVISION'}",0.0017202081451855675,0.9523809523809524,M3004 Network Camera | camera | 
164,"{'ptz', 'HIKVISION'}",0.03423214208919279,0.7177637511271416,P5635-E Mk II PTZ Dome Network Camera | camera | 
165,"{'mikrotik', 'HND1'}",0.0028813486431858255,1.0,MikroTik | router | 
166,"{'asus', 'HUAWEI'}",0.002064249774222681,0.5454545454545454,RT-N66W | soho router | 
167,"{'I2', 'mikrotik'}",0.0010751300907409797,1.0,MikroTik | router | 
168,"{'INIT7', 'mikrotik'}",0.0028813486431858255,1.0,MikroTik | router | 
169,"{'mikrotik', 'INIT7.NET'}",0.0028813486431858255,1.0,MikroTik | router | 
170,"{'mikrotik', 'INTEL'}",0.0028813486431858255,1.0,MikroTik | router | 
171,"{'IP66', 'axis'}",0.001118135294370619,0.9629629629629631,P7224 Video Encoder Blade |  | 
172,"{'camera', 'IP66'}",0.001118135294370619,0.9629629629629631,Q3505 Fixed Dome Network Camera | camera | 
173,"{'ptz', 'IP66'}",0.001118135294370619,0.9629629629629631,P5635-E Mk II PTZ Dome Network Camera | camera | 
174,"{'IPTIME', 'euc-kr'}",0.0026663226250376293,0.5254237288135593,IPTime | printer | 
175,"{'IPTIME', 'euc-kr'}",0.0026663226250376293,1.0,IPTime | printer | 
176,"{'IPTIME', 'iptime'}",0.0015911925342966498,1.0,IPTime |  | 
177,"{'IPTIME', 'iptime_ftpd'}",0.005074614028297424,1.0,IPTime | printer | 
178,"{'IPTIME', 'iptime_ftpd'}",0.005074614028297424,1.0,IPTime | printer | 
179,"{'IPTIME', 'utf-8'}",0.0010751300907409797,1.0,IPTime |  | 
180,"{'IPV6', 'mikrotik'}",0.003655442308519331,0.7391304347826088,MikroTik | router | 
181,"{'IT3', 'axis'}",0.0010751300907409797,1.0,P7224 Video Encoder Blade |  | 
182,"{'IT3', 'camera'}",0.0010751300907409797,1.0,Q3505 Fixed Dome Network Camera | camera | 
183,"{'mikrotik', 'L2'}",0.0016772029415559283,1.0,MikroTik | router | 
184,"{'mikrotik', 'L2TP'}",0.0014621769234077324,0.5666666666666667,MikroTik | router | 
185,"{'mikrotik', 'L3'}",0.003956478733926805,1.0,MikroTik | router | 
186,"{'L4', 'mikrotik'}",0.006794822173482992,1.0,MikroTik | router | 
187,"{'L5', 'mikrotik'}",0.0068378273771126305,1.0,MikroTik | router | 
188,"{'mikrotik', 'L6'}",0.006020728508149486,1.0,MikroTik | router | 
189,"{'LITE5', 'mikrotik'}",0.006063733711779125,1.0,MikroTik | router | 
190,"{'MATRIX', 'axis'}",0.07826947060594332,0.9479166666666666,P7224 Video Encoder Blade |  | 
191,"{'MATRIX', 'axis'}",0.07826947060594332,0.5129650507328072,P7224 Video Encoder Blade |  | 
192,"{'camera', 'MATRIX'}",0.07826947060594332,0.9479166666666666,Q3505 Fixed Dome Network Camera | camera | 
193,"{'camera', 'MATRIX'}",0.07826947060594332,0.5131096701437835,Q3505 Fixed Dome Network Camera | camera | 
194,"{'m5013', 'MATRIX'}",0.006020728508149486,0.5982905982905984,M5013 PTZ Dome Network Camera | camera | 
195,"{'MATRIX', 'm5014-v'}",0.006020728508149486,0.5761316872427984,M5014-V PTZ Dome Network Camera | camera | 
196,"{'MATRIX', 'mk'}",0.012041457016298973,0.5970149253731344,MikroTik | router | 
197,"{'MATRIX', 'oct'}",0.006020728508149486,0.5957446808510639,214 PTZ Network Camera | camera | 
198,"{'MATRIX', 'p5512-e'}",0.006020728508149486,0.5982905982905984,"P5512-E PTZ Dome Network Camera,TM221CE40T | camera,programmable logic controller | "
199,"{'MATRIX', 'p5522-e'}",0.006020728508149486,0.5982905982905984,P5522-E PTZ Dome Network Camera | camera | 
200,"{'MATRIX', 'p5534'}",0.006020728508149486,0.5982905982905984,P5534 PTZ Dome Network Camera | camera | 
201,"{'p5635-e', 'MATRIX'}",0.006020728508149486,0.5982905982905984,P5635-E Mk II PTZ Dome Network Camera | camera | 
202,"{'ptz', 'MATRIX'}",0.07826947060594332,0.9479166666666666,P5635-E Mk II PTZ Dome Network Camera | camera | 
203,"{'ptz', 'MATRIX'}",0.07826947060594332,0.5941887038850799,P5635-E Mk II PTZ Dome Network Camera | camera | 
204,"{'q6044', 'MATRIX'}",0.006020728508149486,0.5982905982905984,Q6044 PTZ Dome Network Camera | camera | 
205,"{'q6044-e', 'MATRIX'}",0.006020728508149486,0.5982905982905984,Q6044-E PTZ Dome Network Camera | camera | 
206,"{'q6045-e', 'MATRIX'}",0.006020728508149486,0.5982905982905984,Q6045-E Mk II PTZ Dome Network Camera | camera | 
207,"{'MATRIX', 'q6115-e'}",0.012041457016298973,0.5857740585774058,Q6115-E PTZ Dome Network Camera | camera | 
208,"{'betplay', 'MICROSOFT'}",0.0020212445705930417,0.8545454545454546,MikroTik | router | 
209,"{'mikrotik', 'MICROSOFT'}",0.0021932653851115987,0.9272727272727274,MikroTik | router | 
210,"{'wifi', 'MICROSOFT'}",0.0020212445705930417,0.8545454545454546,MikroTik | router | 
211,"{'MIKROTIK', 'ana'}",0.001161140498000258,0.7297297297297297,"MikroTik,MikroTik | router,router | "
212,"{'MIKROTIK', 'ap02'}",0.002365286199630155,0.8870967741935484,"MikroTik,MikroTik | router,router | "
213,"{'MIKROTIK', 'balanceador'}",0.0012471509052595364,0.6304347826086957,"MikroTik,MikroTik,MikroTik | router | "
214,"{'MIKROTIK', 'benoit'}",0.001161140498000258,1.0,MikroTik | router | 
215,"{'bunge', 'MIKROTIK'}",0.001161140498000258,0.6428571428571428,"MikroTik,MikroTik | router,router | "
216,"{'MIKROTIK', 'capitan'}",0.001161140498000258,0.8709677419354839,"MikroTik,MikroTik | router,router | "
217,"{'MIKROTIK', 'chawala-mikrotik'}",0.00473057239926031,0.6832298136645962,"MikroTik,MikroTik | router,router | "
218,"{'MIKROTIK', 'darunnahdlah'}",0.002365286199630155,0.8870967741935484,"MikroTik,MikroTik | router,router | "
219,"{'MIKROTIK', 'fani'}",0.0021502601814819594,0.819672131147541,MikroTik | router | 
220,"{'MIKROTIK', 'harman'}",0.006106738915408765,0.5941422594142259,"MikroTik,MikroTik | router,router | "
221,"{'MIKROTIK', 'infantilandia'}",0.0018062185524448458,1.0,MikroTik | router | 
222,"{'kuprianowicz-bozena', 'MIKROTIK'}",0.001376166516148454,0.6037735849056604,MikroTik | router | 
223,"{'MIKROTIK', 'mb'}",0.0014191717197780931,1.0,MikroTik | router | 
224,"{'MIKROTIK', 'mikrotik'}",0.3991312948866813,0.9937894849555627,MikroTik | router | 
225,"{'MIKROTIK', 'mikrotik'}",0.3991312948866813,0.6276459051869886,MikroTik | router | 
226,"{'mirna', 'MIKROTIK'}",0.00473057239926031,0.6832298136645962,MikroTik | router | 
227,"{'MIKROTIK', 'navarro'}",0.001161140498000258,0.8709677419354839,"MikroTik,MikroTik | router,router | "
228,"{'MIKROTIK', 'nmikrotik'}",0.002494301810519073,1.0,MikroTik | router | 
229,"{'MIKROTIK', 'novotny_router'}",0.002064249774222681,0.5,"MikroTik,MikroTik | router,router | "
230,"{'MIKROTIK', 'paula'}",0.006106738915408765,0.5941422594142259,"MikroTik,MikroTik | router,router | "
231,"{'MIKROTIK', 'peco145'}",0.0012471509052595364,1.0,"MikroTik,MikroTik | router,router | "
232,"{'MIKROTIK', 'pharma'}",0.0017202081451855675,0.5263157894736843,MikroTik | router | 
233,"{'MIKROTIK', 'pira'}",0.0014191717197780931,1.0,MikroTik | router | 
234,"{'pm4', 'MIKROTIK'}",0.0012471509052595364,0.5178571428571429,MikroTik | router | 
235,"{'MIKROTIK', 'ponpes'}",0.002365286199630155,0.8870967741935484,"MikroTik,MikroTik | router,router | "
236,"{'MIKROTIK', 'rb2011'}",0.0018062185524448458,1.0,MikroTik | router | 
237,"{'rb750r', 'MIKROTIK'}",0.002322280996000516,0.5346534653465347,MikroTik | router | 
238,"{'MIKROTIK', 'router'}",0.009074097965853869,0.5494791666666667,SR 7750 | infrastructure router | 
239,"{'saharanpur', 'MIKROTIK'}",0.002064249774222681,0.5,MikroTik | router | 
240,"{'MIKROTIK', 'shahriar-router'}",0.002064249774222681,0.5,"MikroTik,MikroTik | router,router | "
241,"{'MIKROTIK', 'skrzydlice'}",0.001376166516148454,0.6037735849056604,MikroTik | router | 
242,"{'MIKROTIK', 'technics'}",0.005160624435556703,0.6666666666666666,"MikroTik,MikroTik | router,router | "
243,"{'MIKROTIK', 'transporte'}",0.00473057239926031,0.6832298136645962,MikroTik | router | 
244,"{'MIKROTIK', 'ultrarap_diveo_main_gateway_router'}",0.002064249774222681,0.5,MikroTik | router | 
245,"{'MIKROTIK', 'vivo'}",0.0014191717197780931,1.0,MikroTik | router | 
246,"{'mikrotik', 'MIKROTIKCRS328-4C'}",0.0028813486431858255,1.0,MikroTik | router | 
247,"{'MIKROTIKRB2011IL', 'mikrotik'}",0.0028813486431858255,1.0,MikroTik | router | 
248,"{'MIKROTIKRB2011UIAS', 'mikrotik'}",0.0028813486431858255,1.0,MikroTik | router | 
249,"{'MIKROTIKRB260GS', 'mikrotik'}",0.0028813486431858255,1.0,MikroTik | router | 
250,"{'mikrotik', 'MIKROTIKRB260GSP'}",0.0028813486431858255,1.0,MikroTik | router | 
251,"{'mikrotik', 'MIKROTIKRB750UPR2'}",0.0028813486431858255,1.0,MikroTik | router | 
252,"{'mikrotik', 'MIKROTIKRB951G'}",0.0028813486431858255,1.0,MikroTik | router | 
253,"{'mikrotik', 'MIKROTIKRB951UI'}",0.0028813486431858255,1.0,MikroTik | router | 
254,"{'mikrotik', 'MIKROTIKRBOMNITIKU-5HND'}",0.005762697286371651,1.0,MikroTik | router | 
255,"{'asus', 'MODEM'}",0.02485700769793145,0.5983436853002071,RT-N66W | soho router | 
256,"{'asus', 'N66U'}",0.0012041457016298972,1.0,RT-N66W | soho router | 
257,"{'NETGEAR', 'asus'}",0.03483421494000774,0.8663101604278075,RT-N66W | soho router | 
258,"{'NETGEAR', 'r7000'}",0.0015051821270373716,0.875,R7000 | soho router | 
259,"{'NOMI', 'dudic'}",0.0010321248871113405,1.0,MikroTik | router | 
260,"{'NOMI', 'ljubomir'}",0.0010321248871113405,1.0,MikroTik | router | 
261,"{'NOMI', 'mikrotik'}",0.0010321248871113405,1.0,MikroTik | router | 
