,Items,Support,Confidence
147,"{'ROUTERBOARD | ROUTER | RBM33G', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
148,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | RBMETAL5SHPN'}",0.002795338235926547,0.9420289855072463
149,"{'ROUTERBOARD | ROUTER | ROUTERBOARD-450GX4', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
150,"{'ROUTERBOARD | ROUTER | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
151,"{'mikrotik mikrotik', 'ROUTERBOARD | ROUTER | SOLUTIONS3G'}",0.002795338235926547,0.9701492537313432
152,"{'ROUTERBOARD | ROUTER | U-5HND', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
153,"{'ROUTERBOARD | ROUTER | V6', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
154,"{'ROUTERBOARD | ROUTER | WI4SPOT', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
155,"{'ROUTERBOARD | ROUTER | WI4TOWER', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
156,"{'mikrotik mikrotik', 'ROUTERBOARD | SWITCH | SIAMOSERVIZISOLUZIONIWI4SPOTWI4TOWERISP'}",0.002795338235926547,0.9558823529411764
157,"{'ROUTERBOARD | SWITCH | SOLUTIONS3G', 'mikrotik mikrotik'}",0.002795338235926547,0.9701492537313432
158,"{'ROUTERBOARD | SWITCH | WI4SPOT', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
159,"{'ROUTERBOARD | SWITCH | WI4TOWER', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764
